GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,44,0,0,0,13,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,7,0,0,0,3,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,15,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,128,0,4,0,27,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,15,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,15,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,15,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,123,0,6,0,36,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,57,0,2,0,16,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.domain,BidList,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.domain,Trade,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.domain,User,38,0,0,0,16,0,11,0,11,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,32,62,7,1,6,15,7,15,3,15
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.validation,AtLeastOneRatingPresentValidator,0,53,0,20,0,7,0,12,0,2
